task,mean disprod_1,mean disprod_3,mean disprod_5,mean gurobiplan_1,mean gurobiplan_3,mean gurobiplan_5,mean jaxplan_1,mean jaxplan_3,mean jaxplan_5,mean noop,mean prost_1,mean prost_10,mean prost_2,mean prost_3,mean prost_4,mean prost_5,mean prost_6,mean prost_7,mean prost_8,mean prost_9,mean random,std disprod_1,std disprod_3,std disprod_5,std gurobiplan_1,std gurobiplan_3,std gurobiplan_5,std jaxplan_1,std jaxplan_3,std jaxplan_5,std noop,std prost_1,std prost_10,std prost_2,std prost_3,std prost_4,std prost_5,std prost_6,std prost_7,std prost_8,std prost_9,std random
AcademicAdvising_01,,,,-40.85,-38.4,-37.7,-78.05,-53.9,-52.35,-200.0,-45.75,,,-40.75,,-41.9,,,,,-229.05,,,,10.951141493013411,7.206941098690901,6.603786792439623,62.00925334173925,12.856515857727553,13.131165218669665,0.0,17.075933356627974,,,9.564909827071032,,11.0900856624284,,,,,5.766064515768099
AcademicAdvising_02,,,,-79.45,-50.05,-53.1,-148.9,-156.5,-200.15,-200.0,-48.7,,,-46.85,,-46.45,,,,,-260.6,,,,62.45276214868322,11.893170309047122,15.757220567092407,44.26612700474258,61.707779088215446,0.6538348415311008,0.0,13.856767299770896,,,13.85379009513281,,11.342288128944706,,,,,19.334942461771124
AcademicAdvising_03,,,,-38.05,-38.75,-43.3,-71.9,-62.9,-113.6,-200.0,-43.45,,,-43.2,,-41.2,,,,,-225.7,,,,8.363462201743966,8.245453292572822,10.119782606360673,40.61637600771393,27.314648084864647,70.30462289209721,0.0,11.249333313579076,,,17.388501948126525,,13.894603268895446,,,,,15.401623291069027
AcademicAdvising_04,,,,-68.25,-66.8,-65.65,-200.0,-200.0,-200.0,-200.0,-183.95,,,-179.0,,-184.85,,,,,-258.9,,,,14.91266240481558,14.351306560728192,13.161591849012794,0.0,0.0,0.0,0.0,36.44650188975617,,,41.018288603987365,,32.03634654575956,,,,,15.610573339887296
AcademicAdvising_05,,,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-202.05,,,-197.25,,-198.1,,,,,-228.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.913332710047348,,,2.0463381929681126,,1.5459624833740306,,,,,5.943694137487224
AcademicAdvising_06,,,,-77.45,-76.4,-75.15,-200.0,-200.0,-200.0,-200.0,-197.6,,,-196.1,,-196.2,,,,,-262.85,,,,11.951882696880856,14.238679714074618,8.95139653908819,0.0,0.0,0.0,0.0,3.023243291566194,,,0.30000000000000004,,0.6782329983125269,,,,,6.864947195718261
AcademicAdvising_07,,,,-200.0,-115.05,-110.5,-200.0,-200.0,-200.0,-200.0,-198.65,,,-198.45,,-202.1,,,,,-225.6,,,,0.0,19.70907151542152,15.885528005074304,0.0,0.0,0.0,0.0,3.785168424258028,,,3.8402473878644847,,3.1764760348537178,,,,,5.885575587824865
AcademicAdvising_08,,,,-200.0,-109.0,-97.8,-200.0,-200.0,-200.0,-200.0,-209.85,,,-198.75,,-195.35,,,,,-258.4,,,,0.0,42.4181564898806,23.944936834328878,0.0,0.0,0.0,0.0,8.051552645297676,,,3.5899164335677787,,1.5256146302392357,,,,,7.618398781896364
AcademicAdvising_09,,,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-198.1,,,-197.1,,-200.6,,,,,-224.65,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794788837894741,,,1.260952021291849,,4.2708313008125245,,,,,5.497954164959907
AcademicAdvising_10,,,,-200.0,-101.25,-101.25,-200.0,-200.0,-200.0,-200.0,-206.05,,,-207.8,,-223.5,,,,,-257.9,,,,0.0,19.104646031790278,19.104646031790278,0.0,0.0,0.0,0.0,2.6358110706194404,,,6.153048025166063,,5.296225070746145,,,,,8.036790404135223
CooperativeRecon_01,,,,2.9863008499999992,3.6203154919999987,3.6203154919999987,0.036754471999999996,1.5712536779999997,0.441053664,0.0,3.1425073559999985,3.1516959739999995,3.0781870299999987,3.206827681999999,3.3079024799999983,3.5376179299999984,3.252770771999999,3.170073209999999,3.160884591999999,3.418165895999999,-0.25588906,,,,0.9332216661841198,1.001685802890355,1.6272936115896888,0.16020902917119528,1.580308734862274,0.8878316406849276,0.0,0.17337049768335122,0.9465168596794473,0.7837304051494345,0.5882868708155384,0.6445145829922123,0.857795754848196,0.566722494394488,0.16308179155327557,0.16020902917119514,0.7382984518753297,0.3487180079253327
CooperativeRecon_02,,,,2.864271299,2.9706838550000003,2.3676793710000004,1.108464125,1.3922309410000002,0.274899103,0.0,2.8554035860000004,3.2101121060000004,3.1391704020000004,2.8199327340000004,2.8820067250000005,3.0238901330000005,3.1303026890000005,3.1746412540000004,2.961816142000001,3.01502242,-0.0465973875,,,,0.7776837684066632,0.6656693933529085,1.0299916407308012,1.3804896054891875,1.194049985989297,0.828977033167008,0.0,0.367341733114049,0.5879501029902309,0.6848263247594981,0.7069742130749505,0.3880574433295368,0.2410648267902696,0.845507487272411,0.5689175248910158,0.2972999146448158,0.3221800128538192,0.0807090426499749
CooperativeRecon_03,,,,14.056102049999996,14.056102049999996,10.675039664999998,7.505270740999999,11.510807894999997,6.876093164999999,0.0,13.030386494999997,12.840439169999996,12.992397029999996,13.106365424999996,12.878428634999997,13.220333819999997,13.220333819999997,13.068375959999994,13.106365424999998,12.726470775,-0.049929987,,,,0.509682157013094,0.509682157013094,6.17477823857708,4.155089992264205,1.802398947006458,5.783763487073939,0.0,0.8067731728278938,1.1989272927005534,0.5836052350971064,0.4729650250313067,1.3263710381157328,0.5583288291079229,0.6078314399999997,0.5685742493473601,0.7923331125095096,1.8119819952178493,0.15876723975179494
CooperativeRecon_04,,,,2.3188202480000006,2.5211334240000007,2.1554134520000003,0.0,0.256782108,0.031125103999999997,0.0,2.3032576960000006,2.6145087360000003,2.3577266280000004,2.661196392000001,2.4666644920000005,2.6222900120000006,2.4744457680000003,2.5756023560000005,2.4355393880000005,2.4121955600000007,-0.24431118599999996,,,,0.7810788880465671,0.5081119604834968,1.2481855551070749,0.0,0.770739217545205,0.13567118294319358,0.0,0.6970216694292398,0.19437621217994208,0.3311387805086967,0.18347978210316768,0.30446572914549436,0.22159565828014496,0.2907324640261107,0.2384424722248478,0.5931660110875292,0.3497248597113388,0.3994670476108413
CooperativeRecon_05,,,,14.5314169,9.02225335,14.5314169,7.4253943499999995,7.505237299999999,9.341625149999997,0.0,12.455500199999994,13.014400849999996,12.655107574999995,13.413615599999995,12.615186099999994,13.413615599999995,13.453537074999995,13.653144449999996,13.014400849999996,12.974479374999996,-0.05658803,,,,0.8220334825653173,7.370243854848357,0.8220334825653173,4.890014047965411,5.726470854132556,5.0377042015367115,0.0,2.7005336110516476,1.0440820512125115,3.011624848766107,0.997238125872446,2.9509504983960015,0.8220334825653172,0.9199280038346779,0.870983755933253,1.7327943701071031,1.4695224548022285,0.16976409000000003
CooperativeRecon_06,,,,10.690569479999997,10.690569479999997,10.690569479999997,1.4943806799999997,0.11495236,3.994594509999999,0.0,9.627260149999996,9.598522059999997,9.885902959999997,9.541045879999995,9.627260149999996,9.541045879999995,9.541045879999995,9.569783969999996,9.598522059999997,9.655998239999997,-0.269229689,,,,0.45980943999999935,0.45980943999999935,0.45980943999999935,3.558884965713623,0.5010657205615072,4.895523298597914,0.0,0.40130558715943526,0.4104620258160454,0.6190374035690552,0.4223619400930783,0.3081816817033927,0.4223619400930783,0.4223619400930783,0.5826111762784578,0.4104620258160454,0.4301123469210968,0.5819209827009774
